구간,시간,2025.09.30,2025.09.29,2025.09.28,2025.09.27,2025.09.26,2025.09.25,2025.09.24,2025.09.23,2025.09.22,2025.09.21,2025.09.20,2025.09.19,2025.09.18,2025.09.17,2025.09.16,2025.09.15,2025.09.14,2025.09.13,2025.09.12,2025.09.11,2025.09.10,2025.09.09,2025.09.08,2025.09.07,2025.09.06,2025.09.05,2025.09.04,2025.09.03,2025.09.02,2025.09.01
안성IC→북천안IC,00시,98.32 km/h,103.72 km/h,104.63 km/h,101.96 km/h,98.26 km/h,81.24 km/h,99.46 km/h,98.40 km/h,103.60 km/h,106.60 km/h,79.14 km/h,100.14 km/h,96.96 km/h,84.64 km/h,98.21 km/h,106.06 km/h,108.13 km/h,74.22 km/h,100.70 km/h,100.47 km/h,99.86 km/h,99.25 km/h,104.53 km/h,91.59 km/h,103.54 km/h,94.08 km/h,87.70 km/h,90.33 km/h,70.26 km/h,93.48 km/h
안성IC→북천안IC,01시,96.51 km/h,99.66 km/h,84.49 km/h,99.65 km/h,95.46 km/h,76.99 km/h,96.56 km/h,96.31 km/h,100.03 km/h,104.88 km/h,72.25 km/h,96.59 km/h,96.04 km/h,84.00 km/h,96.60 km/h,101.59 km/h,106.73 km/h,73.20 km/h,96.62 km/h,97.39 km/h,97.13 km/h,96.02 km/h,100.48 km/h,95.16 km/h,102.75 km/h,92.71 km/h,86.79 km/h,85.13 km/h,67.16 km/h,87.16 km/h
안성IC→북천안IC,02시,93.58 km/h,99.00 km/h,71.87 km/h,99.13 km/h,93.80 km/h,72.93 km/h,94.18 km/h,95.54 km/h,99.35 km/h,103.08 km/h,68.69 km/h,96.21 km/h,92.59 km/h,84.46 km/h,95.53 km/h,100.32 km/h,104.53 km/h,69.61 km/h,96.50 km/h,95.49 km/h,94.41 km/h,83.19 km/h,99.41 km/h,95.96 km/h,101.02 km/h,91.41 km/h,82.34 km/h,74.63 km/h,65.51 km/h,80.15 km/h
안성IC→북천안IC,03시,93.93 km/h,100.46 km/h,75.81 km/h,100.49 km/h,92.69 km/h,71.50 km/h,94.79 km/h,95.34 km/h,101.81 km/h,102.79 km/h,67.87 km/h,97.87 km/h,94.25 km/h,79.32 km/h,94.16 km/h,100.64 km/h,103.05 km/h,74.99 km/h,97.80 km/h,97.73 km/h,94.79 km/h,95.37 km/h,102.01 km/h,98.71 km/h,101.08 km/h,93.66 km/h,78.49 km/h,74.00 km/h,67.56 km/h,74.66 km/h
안성IC→북천안IC,04시,98.50 km/h,103.84 km/h,82.62 km/h,101.84 km/h,95.81 km/h,77.24 km/h,97.64 km/h,98.75 km/h,104.73 km/h,105.54 km/h,69.32 km/h,98.87 km/h,98.01 km/h,81.64 km/h,99.04 km/h,104.12 km/h,96.44 km/h,72.19 km/h,98.34 km/h,98.99 km/h,99.79 km/h,99.54 km/h,105.75 km/h,99.96 km/h,102.51 km/h,95.05 km/h,80.69 km/h,77.62 km/h,78.67 km/h,89.27 km/h
안성IC→북천안IC,05시,99.84 km/h,98.12 km/h,86.91 km/h,94.06 km/h,98.42 km/h,81.22 km/h,99.79 km/h,100.10 km/h,98.90 km/h,104.77 km/h,72.13 km/h,100.50 km/h,100.30 km/h,82.28 km/h,99.89 km/h,96.72 km/h,97.13 km/h,79.43 km/h,100.36 km/h,101.97 km/h,101.81 km/h,98.25 km/h,99.82 km/h,107.19 km/h,102.61 km/h,95.04 km/h,93.39 km/h,91.35 km/h,89.16 km/h,96.09 km/h
안성IC→북천안IC,06시,96.94 km/h,91.34 km/h,87.00 km/h,63.73 km/h,94.20 km/h,88.63 km/h,100.61 km/h,97.61 km/h,98.86 km/h,104.17 km/h,69.28 km/h,100.33 km/h,97.68 km/h,86.67 km/h,99.08 km/h,96.89 km/h,107.47 km/h,90.27 km/h,100.65 km/h,102.04 km/h,100.33 km/h,92.83 km/h,98.33 km/h,109.95 km/h,100.30 km/h,98.92 km/h,95.71 km/h,99.51 km/h,100.01 km/h,100.09 km/h
안성IC→북천안IC,07시,98.12 km/h,100.04 km/h,81.83 km/h,52.06 km/h,92.99 km/h,96.10 km/h,99.99 km/h,99.41 km/h,98.27 km/h,99.82 km/h,72.88 km/h,98.27 km/h,98.41 km/h,94.79 km/h,98.62 km/h,98.54 km/h,105.70 km/h,79.38 km/h,98.21 km/h,101.05 km/h,99.66 km/h,94.09 km/h,99.63 km/h,104.74 km/h,93.97 km/h,97.33 km/h,96.38 km/h,98.29 km/h,97.87 km/h,98.72 km/h
안성IC→북천안IC,08시,96.95 km/h,98.78 km/h,81.72 km/h,55.67 km/h,94.86 km/h,94.73 km/h,96.01 km/h,96.84 km/h,98.61 km/h,100.81 km/h,43.75 km/h,96.53 km/h,96.21 km/h,95.53 km/h,95.66 km/h,99.28 km/h,105.78 km/h,59.71 km/h,96.82 km/h,98.84 km/h,99.02 km/h,95.98 km/h,96.58 km/h,102.10 km/h,90.26 km/h,92.34 km/h,95.35 km/h,99.39 km/h,99.89 km/h,101.46 km/h
안성IC→북천안IC,09시,95.08 km/h,95.97 km/h,83.13 km/h,75.38 km/h,87.00 km/h,92.06 km/h,95.41 km/h,93.45 km/h,95.06 km/h,100.35 km/h,39.17 km/h,93.03 km/h,93.70 km/h,94.99 km/h,92.80 km/h,99.62 km/h,104.80 km/h,79.11 km/h,94.94 km/h,96.93 km/h,96.87 km/h,93.39 km/h,96.34 km/h,98.55 km/h,89.66 km/h,91.53 km/h,90.17 km/h,92.37 km/h,94.38 km/h,95.91 km/h
안성IC→북천안IC,10시,94.31 km/h,93.12 km/h,73.32 km/h,97.39 km/h,90.39 km/h,90.47 km/h,94.97 km/h,91.26 km/h,92.75 km/h,100.07 km/h,76.98 km/h,91.29 km/h,91.33 km/h,89.46 km/h,104.30 km/h,103.24 km/h,104.24 km/h,91.46 km/h,95.14 km/h,96.21 km/h,96.76 km/h,96.29 km/h,95.82 km/h,100.38 km/h,95.36 km/h,84.15 km/h,86.69 km/h,91.39 km/h,90.59 km/h,87.49 km/h
안성IC→북천안IC,11시,93.95 km/h,92.25 km/h,80.00 km/h,97.87 km/h,98.08 km/h,91.91 km/h,96.87 km/h,87.20 km/h,97.20 km/h,103.85 km/h,94.15 km/h,91.54 km/h,93.40 km/h,82.63 km/h,105.41 km/h,110.54 km/h,106.76 km/h,93.26 km/h,94.18 km/h,97.82 km/h,92.63 km/h,96.44 km/h,95.19 km/h,100.86 km/h,95.44 km/h,89.13 km/h,87.33 km/h,92.10 km/h,95.83 km/h,93.57 km/h
안성IC→북천안IC,12시,95.74 km/h,97.09 km/h,89.85 km/h,95.82 km/h,98.10 km/h,94.35 km/h,98.45 km/h,95.32 km/h,96.00 km/h,107.99 km/h,88.87 km/h,93.90 km/h,96.02 km/h,93.61 km/h,107.53 km/h,106.12 km/h,115.92 km/h,90.75 km/h,92.14 km/h,97.49 km/h,101.93 km/h,96.60 km/h,98.01 km/h,102.91 km/h,94.50 km/h,90.57 km/h,93.29 km/h,92.77 km/h,96.17 km/h,95.57 km/h
안성IC→북천안IC,13시,97.43 km/h,93.31 km/h,97.76 km/h,102.96 km/h,99.06 km/h,97.38 km/h,99.51 km/h,102.16 km/h,95.91 km/h,110.42 km/h,85.24 km/h,89.76 km/h,97.80 km/h,93.59 km/h,105.78 km/h,107.12 km/h,116.51 km/h,90.61 km/h,85.69 km/h,101.24 km/h,106.42 km/h,96.68 km/h,98.09 km/h,101.49 km/h,97.60 km/h,87.47 km/h,96.40 km/h,95.79 km/h,102.37 km/h,96.87 km/h
안성IC→북천안IC,14시,99.01 km/h,94.38 km/h,91.55 km/h,111.57 km/h,102.14 km/h,97.90 km/h,96.33 km/h,102.20 km/h,92.85 km/h,109.13 km/h,93.45 km/h,87.95 km/h,99.44 km/h,95.34 km/h,90.71 km/h,104.81 km/h,115.30 km/h,93.63 km/h,87.60 km/h,101.16 km/h,106.20 km/h,96.35 km/h,98.53 km/h,98.23 km/h,92.15 km/h,96.69 km/h,94.64 km/h,96.00 km/h,96.19 km/h,94.56 km/h
안성IC→북천안IC,15시,99.12 km/h,74.29 km/h,93.82 km/h,108.23 km/h,103.64 km/h,91.68 km/h,83.39 km/h,106.31 km/h,50.57 km/h,104.41 km/h,97.93 km/h,87.65 km/h,98.02 km/h,92.62 km/h,73.98 km/h,107.85 km/h,112.15 km/h,98.22 km/h,86.66 km/h,101.92 km/h,102.48 km/h,98.14 km/h,99.19 km/h,95.96 km/h,93.34 km/h,95.67 km/h,93.35 km/h,93.72 km/h,93.87 km/h,87.36 km/h
안성IC→북천안IC,16시,99.83 km/h,60.57 km/h,94.95 km/h,108.86 km/h,103.31 km/h,93.64 km/h,92.61 km/h,105.45 km/h,68.32 km/h,104.28 km/h,101.49 km/h,87.58 km/h,91.19 km/h,93.69 km/h,83.82 km/h,107.48 km/h,111.83 km/h,97.58 km/h,85.75 km/h,102.75 km/h,101.53 km/h,98.72 km/h,97.79 km/h,94.71 km/h,97.70 km/h,95.50 km/h,94.81 km/h,94.93 km/h,96.42 km/h,92.71 km/h
안성IC→북천안IC,17시,100.03 km/h,103.14 km/h,92.58 km/h,106.24 km/h,104.58 km/h,101.96 km/h,89.06 km/h,103.05 km/h,103.61 km/h,111.65 km/h,104.17 km/h,89.89 km/h,102.47 km/h,98.03 km/h,96.31 km/h,108.28 km/h,110.83 km/h,100.83 km/h,88.69 km/h,107.80 km/h,106.76 km/h,101.17 km/h,101.39 km/h,92.93 km/h,97.37 km/h,98.19 km/h,98.43 km/h,96.81 km/h,98.05 km/h,98.27 km/h
안성IC→북천안IC,18시,98.85 km/h,100.20 km/h,93.44 km/h,100.17 km/h,97.55 km/h,100.06 km/h,79.59 km/h,100.79 km/h,99.16 km/h,100.82 km/h,101.06 km/h,75.67 km/h,102.81 km/h,98.52 km/h,100.06 km/h,106.87 km/h,104.69 km/h,99.96 km/h,78.73 km/h,106.29 km/h,107.80 km/h,102.12 km/h,100.65 km/h,95.96 km/h,53.43 km/h,97.93 km/h,99.26 km/h,98.87 km/h,99.57 km/h,100.64 km/h
안성IC→북천안IC,19시,98.94 km/h,99.67 km/h,91.98 km/h,96.95 km/h,95.18 km/h,99.42 km/h,78.85 km/h,99.49 km/h,98.78 km/h,93.54 km/h,97.41 km/h,69.60 km/h,99.20 km/h,99.25 km/h,99.38 km/h,101.17 km/h,96.14 km/h,97.84 km/h,71.37 km/h,101.51 km/h,102.09 km/h,101.36 km/h,100.83 km/h,94.64 km/h,67.44 km/h,97.72 km/h,96.81 km/h,94.31 km/h,95.73 km/h,95.31 km/h
안성IC→북천안IC,20시,99.25 km/h,100.36 km/h,94.05 km/h,99.19 km/h,97.17 km/h,99.35 km/h,78.83 km/h,100.49 km/h,99.34 km/h,87.97 km/h,99.81 km/h,73.52 km/h,100.06 km/h,99.82 km/h,93.72 km/h,101.58 km/h,87.36 km/h,101.18 km/h,72.19 km/h,102.22 km/h,101.59 km/h,100.76 km/h,101.17 km/h,95.50 km/h,77.93 km/h,98.94 km/h,97.07 km/h,93.00 km/h,94.89 km/h,81.86 km/h
안성IC→북천안IC,21시,101.42 km/h,100.36 km/h,101.92 km/h,103.21 km/h,98.63 km/h,101.79 km/h,80.09 km/h,101.58 km/h,101.65 km/h,101.22 km/h,103.19 km/h,75.65 km/h,101.79 km/h,101.67 km/h,80.14 km/h,102.35 km/h,103.45 km/h,106.01 km/h,72.46 km/h,103.61 km/h,102.73 km/h,103.99 km/h,102.63 km/h,102.29 km/h,84.11 km/h,100.74 km/h,95.58 km/h,93.57 km/h,96.76 km/h,82.96 km/h
안성IC→북천안IC,22시,102.27 km/h,100.75 km/h,104.06 km/h,105.23 km/h,101.62 km/h,102.40 km/h,81.06 km/h,102.88 km/h,102.15 km/h,103.35 km/h,105.63 km/h,72.96 km/h,102.32 km/h,99.79 km/h,83.81 km/h,103.19 km/h,104.82 km/h,107.11 km/h,77.30 km/h,104.59 km/h,103.66 km/h,104.28 km/h,104.34 km/h,104.41 km/h,90.73 km/h,104.12 km/h,96.50 km/h,93.14 km/h,96.66 km/h,85.01 km/h
안성IC→북천안IC,23시,101.22 km/h,100.72 km/h,105.63 km/h,106.34 km/h,102.88 km/h,100.76 km/h,83.27 km/h,101.86 km/h,101.05 km/h,105.48 km/h,106.52 km/h,77.36 km/h,102.11 km/h,98.72 km/h,88.58 km/h,102.45 km/h,106.45 km/h,108.85 km/h,76.04 km/h,104.23 km/h,103.24 km/h,102.81 km/h,102.27 km/h,106.72 km/h,93.34 km/h,105.60 km/h,97.86 km/h,92.56 km/h,94.89 km/h,80.73 km/h
